Duration_ms,PacketCount,PktCount,PktSum,PktMean,PktMin,PktMax,PktStd,IATCount,IATSum_ms,IATMean_ms,IATMin_ms,IATMax_ms,IATStd_ms,label
0.0,1,1,86,86.0,86,86,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,357,357.0,357,357,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,74,74.0,74,74,0.0,0,0.0,0.0,0.0,0.0,0.0,0
619.997,19,19,24214,1274.421,54,1514,528.314,18,619.997,34.444,0.001,183.082,54.938,1
0.0,1,1,77,77.0,77,77,0.0,0,0.0,0.0,0.0,0.0,0.0,1
96.479,5,5,452,90.4,60,206,57.847,4,96.479,24.12,0.21,94.41,40.586,1
8284.637,2213,2213,2703553,1221.669,84,1292,257.328,2212,8284.637,3.745,0.0,2890.062,64.064,0
463.06,5,5,445,89.0,60,199,55.049,4,463.06,115.765,0.502,176.705,67.961,1
0.0,1,1,94,94.0,94,94,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,71,71.0,71,71,0.0,0,0.0,0.0,0.0,0.0,0.0,0
97.762,7,7,2409,344.143,60,1490,505.058,6,97.762,16.294,0.085,95.61,35.474,1
0.0,1,1,95,95.0,95,95,0.0,0,0.0,0.0,0.0,0.0,0.0,1
96.593,5,5,743,148.6,54,515,183.259,4,96.593,24.148,0.082,92.347,39.383,1
0.0,1,1,99,99.0,99,99,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,85,85.0,85,85,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,92,92.0,92,92,0.0,0,0.0,0.0,0.0,0.0,0.0,1
150.561,5,5,798,159.6,54,570,205.253,4,150.561,37.64,0.066,145.139,62.101,1
16.534,5,5,1085,217.0,54,857,320.034,4,16.534,4.133,0.146,10.991,4.095,1
0.0,1,1,66,66.0,66,66,0.0,0,0.0,0.0,0.0,0.0,0.0,1
5711.651,44,44,3818,86.773,60,325,69.098,43,5711.651,132.829,0.035,4058.07,622.919,1
571.832,16,16,1115,69.688,60,209,36.0,15,571.832,38.122,0.222,200.054,64.96,1
4003.929,5,5,390,78.0,78,78,0.0,4,4003.929,1000.982,1000.668,1001.341,0.241,0
0.0,1,1,82,82.0,82,82,0.0,0,0.0,0.0,0.0,0.0,0.0,1
619.943,7,7,5234,747.714,86,1294,574.804,6,619.943,103.324,0.001,311.602,145.037,0
0.0,1,1,72,72.0,72,72,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,106,106.0,106,106,0.0,0,0.0,0.0,0.0,0.0,0.0,0
4004.407,5,5,390,78.0,78,78,0.0,4,4004.407,1001.102,997.627,1004.315,2.369,0
915.786,12,12,4673,389.417,86,1354,469.554,11,915.786,83.253,0.007,312.338,135.235,0
0.0,1,1,171,171.0,171,171,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,166,166.0,166,166,0.0,0,0.0,0.0,0.0,0.0,0.0,1
98.529,5,5,450,90.0,60,204,57.047,4,98.529,24.632,0.465,95.459,40.896,1
73233.167,4,4,246,61.5,60,66,2.598,3,73233.167,24411.056,9.315,73212.01,34507.486,1
0.0,1,1,154,154.0,154,154,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,148,148.0,148,148,0.0,0,0.0,0.0,0.0,0.0,0.0,1
0.0,1,1,193,193.0,193,193,0.0,0,0.0,0.0,0.0,0.0,0.0,0
1581.218,182,182,12251,67.313,60,373,41.321,181,1581.218,8.736,0.024,910.454,74.916,1
2685.833,85,85,25733,302.741,93,1292,352.61,84,2685.833,31.974,0.003,1032.73,113.125,0
0.0,1,1,79,79.0,79,79,0.0,0,0.0,0.0,0.0,0.0,0.0,0
3029.995,3,3,198,66.0,66,66,0.0,2,3029.995,1514.997,1015.569,2014.426,499.428,1
0.0,1,1,75,75.0,75,75,0.0,0,0.0,0.0,0.0,0.0,0.0,0
40327.224,15,15,1225,81.667,60,259,55.973,14,40327.224,2880.516,0.028,20295.938,7038.902,1
124.776,2,2,120,60.0,54,66,6.0,1,124.776,124.776,124.776,124.776,0.0,1
1310.662,25,25,8444,337.76,94,1292,440.778,24,1310.662,54.611,0.003,311.843,111.124,0
0.0,1,1,74,74.0,74,74,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,123,123.0,123,123,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,66,66.0,66,66,0.0,0,0.0,0.0,0.0,0.0,0.0,0
980.842,6,6,761,126.833,54,479,157.555,5,980.842,196.168,0.125,795.671,304.275,1
0.0,1,1,140,140.0,140,140,0.0,0,0.0,0.0,0.0,0.0,0.0,1
15.059,5,5,1079,215.8,54,851,317.634,4,15.059,3.765,0.118,10.947,4.217,1
4003.732,5,5,390,78.0,78,78,0.0,4,4003.732,1000.933,1000.421,1001.349,0.335,0
0.0,1,1,62,62.0,62,62,0.0,0,0.0,0.0,0.0,0.0,0.0,0
0.0,1,1,157,157.0,157,157,0.0,0,0.0,0.0,0.0,0.0,0.0,0
10841.892,92,92,86908,944.652,83,1292,518.409,91,10841.892,119.142,0.0,7122.609,762.236,0
0.0,1,1,104,104.0,104,104,0.0,0,0.0,0.0,0.0,0.0,0.0,1
