Duration_ms,PacketCount,PktCount,PktSum,PktMean,PktMin,PktMax,PktStd,IATCount,IATSum_ms,IATMean_ms,IATMin_ms,IATMax_ms,IATStd_ms
98.545,5,5,743,148.600,54,515,183.259,4,98.545,24.636,0.129,93.062,39.519
150.561,5,5,798,159.600,54,570,205.253,4,150.561,37.640,0.066,145.139,62.101
77702.157,3,3,186,62.000,60,66,2.828,2,77702.157,38851.079,2.165,77699.992,38848.914
150328.365,15,15,1762,117.467,60,597,139.731,14,150328.365,10737.740,0.116,150242.307,38691.606
110005.482,12,12,7381,615.083,54,1514,652.012,11,110005.482,10000.498,0.001,109427.504,31441.675
295.422,7,7,2394,342.000,60,1514,510.137,6,295.422,49.237,0.196,149.398,69.148
64543.692,3,3,174,58.000,54,66,5.657,2,64543.692,32271.846,0.051,64543.641,32271.795
0.000,1,1,140,140.000,140,140,0.000,0,0.000,0.000,0.000,0.000,0.000
102.716,6,6,510,85.000,60,204,53.263,5,102.716,20.543,0.282,100.083,39.773
0.000,1,1,76,76.000,76,76,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,74,74.000,74,74,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,76,76.000,76,76,0.000,0,0.000,0.000,0.000,0.000,0.000
99.262,5,5,878,175.600,54,645,234.741,4,99.262,24.816,0.003,97.791,42.136
95.627,6,6,886,147.667,54,604,204.126,5,95.627,19.125,0.023,86.902,33.954
100.649,6,6,510,85.000,60,204,53.263,5,100.649,20.130,0.226,98.121,38.998
97.525,5,5,452,90.400,60,206,57.847,4,97.525,24.381,0.175,95.203,40.895
0.000,1,1,79,79.000,79,79,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,84,84.000,84,84,0.000,0,0.000,0.000,0.000,0.000,0.000
496.408,5,5,445,89.000,60,199,55.049,4,496.408,124.102,0.221,207.122,75.950
619.997,19,19,24214,1274.421,54,1514,528.314,18,619.997,34.444,0.001,183.082,54.938
571.832,16,16,1115,69.688,60,209,36.000,15,571.832,38.122,0.222,200.054,64.960
98.529,5,5,450,90.000,60,204,57.047,4,98.529,24.632,0.465,95.459,40.896
97.762,7,7,2409,344.143,60,1490,505.058,6,97.762,16.294,0.085,95.610,35.474
73233.167,4,4,246,61.500,60,66,2.598,3,73233.167,24411.056,9.315,73212.010,34507.486
125033.851,14,14,8235,588.214,54,1514,658.422,13,125033.851,9617.989,0.001,124935.431,33289.287
0.000,1,1,79,79.000,79,79,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,85,85.000,85,85,0.000,0,0.000,0.000,0.000,0.000,0.000
2.484,5,5,2292,458.400,60,1454,547.745,4,2.484,0.621,0.195,1.490,0.514
12348.763,4,4,752,188.000,54,578,225.220,3,12348.763,4116.254,35.802,7287.623,3029.527
3029.995,3,3,198,66.000,66,66,0.000,2,3029.995,1514.997,1015.569,2014.426,499.428
0.000,1,1,82,82.000,82,82,0.000,0,0.000,0.000,0.000,0.000,0.000
12349.110,9,9,1119,124.333,60,376,119.579,8,12349.110,1543.639,0.114,7278.912,2719.855
1581.218,182,182,12251,67.313,60,373,41.321,181,1581.218,8.736,0.024,910.454,74.916
201.269,2,2,276,138.000,138,138,0.000,1,201.269,201.269,201.269,201.269,0.000
5711.651,44,44,3818,86.773,60,325,69.098,43,5711.651,132.829,0.035,4058.070,622.919
0.000,1,1,76,76.000,76,76,0.000,0,0.000,0.000,0.000,0.000,0.000
9014.468,3,3,198,66.000,66,66,0.000,2,9014.468,4507.234,3014.357,6000.111,1492.877
0.000,1,1,77,77.000,77,77,0.000,0,0.000,0.000,0.000,0.000,0.000
463.060,5,5,445,89.000,60,199,55.049,4,463.060,115.765,0.502,176.705,67.961
40.971,2,2,280,140.000,140,140,0.000,1,40.971,40.971,40.971,40.971,0.000
0.000,1,1,85,85.000,85,85,0.000,0,0.000,0.000,0.000,0.000,0.000
60160.457,10,10,934,93.400,60,142,39.720,9,60160.457,6684.495,0.240,59953.355,18833.395
0.000,1,1,72,72.000,72,72,0.000,0,0.000,0.000,0.000,0.000,0.000
9012.661,3,3,198,66.000,66,66,0.000,2,9012.661,4506.331,3012.650,6000.011,1493.680
6.409,6,6,792,132.000,54,510,169.104,5,6.409,1.282,0.040,6.040,2.380
80477.975,27,27,2167,80.259,60,294,58.714,26,80477.975,3095.307,0.026,61350.536,12191.285
124.776,2,2,120,60.000,54,66,6.000,1,124.776,124.776,124.776,124.776,0.000
96.583,6,6,886,147.667,54,604,204.126,5,96.583,19.317,0.083,89.120,34.945
0.000,1,1,181,181.000,181,181,0.000,0,0.000,0.000,0.000,0.000,0.000
29.378,2,2,148,74.000,74,74,0.000,1,29.378,29.378,29.378,29.378,0.000
40327.224,15,15,1225,81.667,60,259,55.973,14,40327.224,2880.516,0.028,20295.938,7038.902
0.000,1,1,138,138.000,138,138,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,82,82.000,82,82,0.000,0,0.000,0.000,0.000,0.000,0.000
69957.211,5,5,2461,492.200,54,1514,581.138,4,69957.211,17489.303,0.003,69946.255,30286.036
1774.634,6,6,516,86.000,60,210,55.498,5,1774.634,354.927,0.173,1122.082,426.289
0.000,1,1,241,241.000,241,241,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,126,126.000,126,126,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,86,86.000,86,86,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,83,83.000,83,83,0.000,0,0.000,0.000,0.000,0.000,0.000
10.890,5,5,812,162.400,54,584,210.851,4,10.890,2.723,0.007,5.374,2.646
98.567,7,7,2415,345.000,60,1484,504.050,6,98.567,16.428,0.197,95.554,35.390
0.000,1,1,176,176.000,176,176,0.000,0,0.000,0.000,0.000,0.000,0.000
3030.019,3,3,198,66.000,66,66,0.000,2,3030.019,1515.009,1015.526,2014.493,499.483
60026.409,6,6,642,107.000,60,336,102.435,5,60026.409,12005.282,0.302,59967.369,23981.050
12.666,9,9,2544,282.667,60,1474,458.774,8,12.666,1.583,0.143,5.696,2.198
10.896,5,5,455,91.000,60,209,59.046,4,10.896,2.724,0.071,5.306,2.576
41.146,53,53,73059,1378.472,54,1514,420.108,52,41.146,0.791,0.001,11.190,2.476
0.000,1,1,74,74.000,74,74,0.000,0,0.000,0.000,0.000,0.000,0.000
2142.952,5,5,785,157.000,54,557,200.054,4,2142.952,535.738,0.022,1913.771,797.326
96.343,5,5,452,90.400,60,206,57.847,4,96.343,24.086,0.159,94.043,40.393
28.824,2,2,154,77.000,77,77,0.000,1,28.824,28.824,28.824,28.824,0.000
73221.191,3,3,174,58.000,54,66,5.657,2,73221.191,36610.596,0.021,73221.170,36610.575
351.955,4,4,970,242.500,54,796,319.601,3,351.955,117.318,62.371,144.993,38.854
0.000,1,1,104,104.000,104,104,0.000,0,0.000,0.000,0.000,0.000,0.000
96.180,7,7,840,120.000,54,499,154.782,6,96.180,16.030,0.003,94.292,35.005
64552.115,4,4,246,61.500,60,66,2.598,3,64552.115,21517.372,8.453,64535.010,30418.064
0.000,1,1,140,140.000,140,140,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,208,208.000,208,208,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,74,74.000,74,74,0.000,0,0.000,0.000,0.000,0.000,0.000
430.361,12,12,875,72.917,60,209,41.064,11,430.361,39.124,0.214,181.632,64.852
11.885,5,5,455,91.000,60,209,59.046,4,11.885,2.971,0.371,5.813,2.590
50.717,46,46,3443,74.848,60,427,65.414,45,50.717,1.127,0.027,11.537,2.717
150317.716,13,13,7196,553.538,54,1514,612.210,12,150317.716,12526.476,0.002,150252.964,41526.100
40316.896,12,12,6639,553.250,54,1514,637.207,11,40316.896,3665.172,0.004,20306.341,7760.359
0.000,1,1,86,86.000,86,86,0.000,0,0.000,0.000,0.000,0.000,0.000
98.919,7,7,2409,344.143,60,1484,503.578,6,98.919,16.486,0.194,95.157,35.189
101.313,6,6,510,85.000,60,204,53.263,5,101.313,20.263,0.072,99.451,39.597
60158.617,11,11,2678,243.455,54,572,248.380,10,60158.617,6015.862,0.007,59994.748,17992.981
5701.683,53,53,67293,1269.679,54,1514,501.909,52,5701.683,109.648,0.001,4115.690,579.439
2.587,4,4,228,57.000,54,66,5.196,3,2.587,0.862,0.066,2.005,0.829
64113.327,29,29,31187,1075.414,54,1514,600.748,28,64113.327,2289.762,0.001,63811.323,11839.913
0.000,1,1,83,83.000,83,83,0.000,0,0.000,0.000,0.000,0.000,0.000
110000.833,7,7,665,95.000,60,299,83.308,6,110000.833,18333.472,0.187,109987.048,40988.725
109996.857,7,7,5626,803.714,54,1514,675.402,6,109996.857,18332.809,0.001,109991.424,40990.979
109938.416,11,11,5077,461.545,54,1514,552.471,10,109938.416,10993.842,0.004,60653.433,20094.737
83702.906,7,7,660,94.286,60,294,81.559,6,83702.906,13950.484,0.261,60871.065,22571.208
2181.552,5,5,785,157.000,54,557,200.054,4,2181.552,545.388,0.008,1915.923,794.052
600064.382,39,39,1998,51.231,42,60,8.997,38,600064.382,15791.168,0.017,125324.050,24571.052
64543.551,804,804,1210607,1505.730,54,1514,100.932,803,64543.551,80.378,0.000,59483.543,2103.442
0.000,1,1,77,77.000,77,77,0.000,0,0.000,0.000,0.000,0.000,0.000
110157.872,19,19,8362,440.105,60,1494,578.030,18,110157.872,6119.882,0.126,109274.795,25018.853
743.115,15,15,1055,70.333,60,209,37.090,14,743.115,53.080,0.261,251.450,69.157
96.440,5,5,743,148.600,54,515,183.259,4,96.440,24.110,0.092,92.648,39.577
0.000,1,1,77,77.000,77,77,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,92,92.000,92,92,0.000,0,0.000,0.000,0.000,0.000,0.000
1123.624,7,7,2427,346.714,60,1514,512.407,6,1123.624,187.271,0.197,978.980,357.865
0.000,1,1,111,111.000,111,111,0.000,0,0.000,0.000,0.000,0.000,0.000
0.000,1,1,176,176.000,176,176,0.000,0,0.000,0.000,0.000,0.000,0.000
97.228,5,5,450,90.000,60,204,57.047,4,97.228,24.307,0.464,94.585,40.578
51.298,5,5,633,126.600,60,387,130.221,4,51.298,12.825,0.135,48.738,20.751
